City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Esil,KZ,2021-11-23 04:05:18,51.9556,66.4042,25.38,94,59,16.53,broken clouds
60,Bethel,US,2021-11-23 04:04:14,41.3712,-73.414,37.56,62,1,1.01,clear sky
61,Chuy,UY,2021-11-23 04:02:15,-33.6971,-53.4616,63.55,67,8,16.58,clear sky
62,Nizwa,OM,2021-11-23 04:05:19,22.9333,57.5333,76.64,17,2,2.77,clear sky
63,Great Yarmouth,GB,2021-11-23 04:05:19,52.6083,1.7305,42.24,83,99,10.76,overcast clouds
64,Bougouni,ML,2021-11-23 04:05:20,11.417,-7.479,71.04,28,23,3.02,few clouds
65,Yarmouth,US,2021-11-23 04:05:20,41.7057,-70.2286,44.15,68,75,14.97,broken clouds
66,Olinda,BR,2021-11-23 04:02:38,-8.0089,-34.8553,80.33,78,75,6.91,broken clouds
67,Lorengau,PG,2021-11-23 04:00:53,-2.0226,147.2712,79.66,85,100,8.97,overcast clouds
68,Ushuaia,AR,2021-11-23 04:05:21,-54.8,-68.3,28.92,94,93,3.15,overcast clouds
69,Longyearbyen,SJ,2021-11-23 04:05:22,78.2186,15.6401,3.04,66,20,4.61,few clouds
70,Mar Del Plata,AR,2021-11-23 04:05:22,-38.0023,-57.5575,56.88,65,6,1.99,clear sky
71,Hamilton,US,2021-11-23 04:02:03,39.1834,-84.5333,30.4,75,1,1.99,clear sky
72,Camacha,PT,2021-11-23 04:05:23,33.0833,-16.3333,65.62,77,40,8.05,scattered clouds
73,Bendigo,AU,2021-11-23 04:05:23,-36.7667,144.2833,76.86,45,100,1.01,light rain
74,Bengkulu,ID,2021-11-23 04:05:24,-3.8004,102.2655,83.35,65,90,4.45,overcast clouds
75,Kropotkin,RU,2021-11-23 04:05:24,45.4375,40.5756,44.26,86,36,6.67,scattered clouds
76,Korla,CN,2021-11-23 04:00:29,41.7597,86.1469,31.86,50,7,3.06,clear sky
77,Barrow,US,2021-11-23 04:05:25,71.2906,-156.7887,-3.98,71,75,4.61,broken clouds
78,Bakel,SN,2021-11-23 04:05:25,14.905,-12.4568,80.24,20,42,9.75,scattered clouds
79,Upata,VE,2021-11-23 04:05:26,8.0086,-62.3989,73.18,98,95,2.77,overcast clouds
80,Khor,RU,2021-11-23 04:05:26,47.8861,134.9464,18.12,94,100,18.25,light snow
81,Shimoda,JP,2021-11-23 04:02:26,34.6667,138.95,60.1,58,1,29.28,clear sky
82,Puerto El Triunfo,SV,2021-11-23 04:05:28,13.2833,-88.55,73.56,80,35,4.34,scattered clouds
83,Hasaki,JP,2021-11-23 04:05:29,35.7333,140.8333,59.4,74,100,15.1,overcast clouds
84,Khatanga,RU,2021-11-23 04:05:29,71.9667,102.5,-2.15,79,99,22.82,overcast clouds
85,Macapa,BR,2021-11-23 04:01:19,0.0389,-51.0664,77.4,90,46,6.71,scattered clouds
86,Elk Plain,US,2021-11-23 04:05:30,47.0532,-122.3976,46.4,94,90,1.99,light rain
87,Kibray,UZ,2021-11-23 04:05:30,41.3873,69.4641,43.32,54,2,6.06,clear sky
88,Le Port,RE,2021-11-23 04:05:31,-20.9373,55.2919,80.6,68,35,4.23,scattered clouds
89,Panguna,PG,2021-11-23 04:05:32,-6.3164,155.4848,80.65,65,86,4.63,light rain
90,Darnah,LY,2021-11-23 04:05:32,32.767,22.6367,63.14,61,99,19.93,overcast clouds
91,Fonte Boa,BR,2021-11-23 04:05:33,-2.4959,-66.2662,73.38,98,100,1.23,overcast clouds
92,Gushikawa,JP,2021-11-23 04:05:33,26.3544,127.8686,69.03,58,90,13.8,overcast clouds
93,Ketchikan,US,2021-11-23 04:05:34,55.3422,-131.6461,39.18,87,90,4.61,light rain
94,Buala,SB,2021-11-23 04:02:48,-8.145,159.5921,84.2,74,82,10.83,light rain
95,Fasa,IR,2021-11-23 04:05:34,28.9383,53.6482,60.71,46,16,2.51,few clouds
96,Svetlogorsk,BY,2021-11-23 04:05:35,52.6333,29.7333,24.64,73,62,1.77,broken clouds
97,Vostok,RU,2021-11-23 04:05:36,46.4856,135.8833,10.8,90,100,14.23,light snow
98,Ayan,RU,2021-11-23 04:05:36,56.45,138.1667,25.21,82,100,34.07,light snow
99,Kruisfontein,ZA,2021-11-23 04:01:23,-34.0033,24.7314,58.89,80,100,10.67,overcast clouds
100,Butaritari,KI,2021-11-23 04:05:37,3.0707,172.7902,82.26,77,20,11.61,few clouds
101,Airai,TL,2021-11-23 04:05:37,-8.9266,125.4092,77.95,48,86,2.28,overcast clouds
102,Astoria,US,2021-11-23 04:05:38,46.1879,-123.8313,49.86,98,90,3.0,overcast clouds
103,Ninghai,CN,2021-11-23 04:05:38,29.2892,121.4247,55.72,40,15,7.47,few clouds
104,Norman Wells,CA,2021-11-23 04:05:39,65.282,-126.8329,-11.76,97,100,5.99,overcast clouds
105,Chegdomyn,RU,2021-11-23 04:02:56,51.1167,133.0167,28.81,67,100,18.54,overcast clouds
106,New Norfolk,AU,2021-11-23 04:05:39,-42.7826,147.0587,76.71,38,100,1.99,overcast clouds
107,Constitucion,CL,2021-11-23 04:03:31,-35.3333,-72.4167,60.71,57,0,8.19,clear sky
108,Malinovoye Ozero,RU,2021-11-23 04:05:40,51.6753,79.7825,35.35,83,100,21.03,overcast clouds
109,Cairns,AU,2021-11-23 04:05:40,-16.9167,145.7667,98.94,68,4,8.05,clear sky
110,Veraval,IN,2021-11-23 04:04:17,20.9,70.3667,82.78,67,93,5.97,overcast clouds
111,Luderitz,NA,2021-11-23 04:01:48,-26.6481,15.1594,59.23,86,29,12.68,scattered clouds
112,Georgetown,MY,2021-11-23 04:05:25,5.4112,100.3354,87.73,74,20,3.44,few clouds
113,Hilo,US,2021-11-23 04:04:33,19.7297,-155.09,75.27,93,90,6.91,moderate rain
114,Fort Nelson,CA,2021-11-23 04:04:41,58.8053,-122.7002,2.79,78,90,10.36,light snow
115,Albany,US,2021-11-23 04:05:42,42.6001,-73.9662,32.36,74,20,1.01,few clouds
116,Castro,BR,2021-11-23 04:05:42,-24.7911,-50.0119,61.68,61,52,2.46,broken clouds
117,Upernavik,GL,2021-11-23 04:05:43,72.7868,-56.1549,2.28,87,8,6.26,clear sky
118,Elbistan,TR,2021-11-23 04:05:43,38.2059,37.1983,41.0,84,6,0.63,clear sky
119,Eston,CA,2021-11-23 04:05:09,51.1501,-108.7514,40.93,52,98,13.62,overcast clouds
120,Daru,PG,2021-11-23 04:05:44,-9.0763,143.2092,86.05,68,44,9.06,scattered clouds
121,Buchanan,LR,2021-11-23 04:05:18,5.8808,-10.0467,76.37,90,32,4.45,light rain
122,Congonhas,BR,2021-11-23 04:01:19,-20.4997,-43.8578,62.82,96,52,2.84,broken clouds
123,Buin,CL,2021-11-23 04:05:45,-33.7333,-70.75,72.73,47,0,0.13,clear sky
124,Amazar,RU,2021-11-23 04:05:45,53.858,120.875,7.56,49,100,7.99,overcast clouds
125,Birin,NP,2021-11-23 04:05:46,26.8865,88.0718,57.51,74,20,4.03,few clouds
126,Chiradzulu,MW,2021-11-23 04:05:46,-15.6746,35.1407,69.96,70,91,4.27,overcast clouds
127,Mahebourg,MU,2021-11-23 04:03:09,-20.4081,57.7,79.25,66,4,8.39,clear sky
128,Saint-Georges,GD,2021-11-23 04:05:47,12.0564,-61.7485,79.21,80,88,9.22,overcast clouds
